entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time
39,39,2025-01-27 19:00:00,2734.69,10352.83,IMPERIUM,IMPERIUM,43,43,2025-01-29 14:00:00,2758.78,10397.0,1.42,,,2025.01.27 19:00,2734.06,2734.64,2732.17,2732.24,78.0,25.286557387025425,2739.429499999998,-3.615717789158225,-3.208863938310808,2.535000000000015,43.14579181527493,7.286669449713302,34.66377108161301,5.676442762535963,8.183125264921856,2745.238594507752,2739.4295,2733.6204054922478,2025-01-27 19:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00
44,44,2025-02-03 05:00:00,2778.53,10397.0,IMPERIUM,IMPERIUM,46,46,2025-02-03 08:00:00,2782.84,10401.31,4.31,,,2025.02.03 05:00,2777.67,2777.94,2776.03,2776.74,66.0,37.53819672437195,2779.0094999999947,-3.114816300295388,-3.509125741888349,3.072857142857169,34.456644353542174,15.39957866217856,13.169684431578824,37.55158184319095,31.214458383222563,2784.3586101129063,2779.0095,2773.660389887093,2025-02-03 05:00:00,2025.02.03 08:00,2782.69,2783.59,2782.52,2782.83,82.0,58.640536155515896,2781.4449999999947,1.1721987368723603,1.2037121540263702,1.409285714285809,34.598710090438395,18.34457103349501,9.435784008388348,68.63580998782122,70.09686937229958,2784.9378355243275,2781.4450000000006,2777.9521644756737,2025-02-03 08:00:00
45,45,2025-02-03 05:00:00,2778.53,10397.0,IMPERIUM,IMPERIUM,47,47,2025-02-03 13:03:40,2800.75,10423.53,22.22,tp 2800.75,tp 2800.75,2025.02.03 05:00,2777.67,2777.94,2776.03,2776.74,66.0,37.53819672437195,2779.0094999999947,-3.114816300295388,-3.509125741888349,3.072857142857169,34.456644353542174,15.39957866217856,13.169684431578824,37.55158184319095,31.214458383222563,2784.3586101129063,2779.0095,2773.660389887093,2025-02-03 05:00:00,2025.02.03 13:00,2797.73,2801.1,2797.51,2800.73,86.0,68.31450047240763,2796.5964999999937,0.9948548283359742,0.5541505388066381,1.9907142857142412,34.213926857277585,33.46987720359331,12.07701526607185,81.92982456140413,72.79786451224619,2800.35124779446,2796.5965,2792.84175220554,2025-02-03 13:00:00
48,48,2025-02-03 14:00:00,2801.5,10423.53,IMPERIUM,IMPERIUM,49,49,2025-02-03 15:00:00,2810.17,10432.2,8.67,,,2025.02.03 14:00,2800.82,2801.13,2800.08,2800.7,76.0,60.95240872012195,2798.5764999999938,1.229282157823036,1.2442265529280734,1.6785714285713274,29.380324578748294,23.245577527513294,9.548749301732943,52.13178294573561,56.03995447731948,2803.324111083481,2798.5765,2793.828888916518,2025-02-03 14:00:00,2025.02.03 15:00,2810.02,2811.08,2809.36,2809.45,72.0,73.53549528332735,2803.097499999994,3.0260952925841598,2.1729199212997434,2.092142857142884,63.88736408415479,33.42778292411512,3.5720526406083377,89.69041178238703,91.45385028149828,2811.0329543033145,2803.0974999999994,2795.1620456966843,2025-02-03 15:00:00
50,50,2025-02-03 16:00:00,2811.32,10432.2,IMPERIUM,IMPERIUM,51,51,2025-02-04 15:00:00,2821.61,10442.49,10.29,,,2025.02.03 16:00,2810.61,2811.64,2809.63,2810.23,68.0,63.85964623462708,2808.543499999994,2.170962643917392,2.5102534528561398,2.029285714285733,42.55478058282369,23.394875229450754,7.63768459357704,71.84087363494577,66.47336540951994,2812.6713143126844,2808.5435,2804.415685687316,2025-02-03 16:00:00,2025.02.04 15:00,2821.46,2822.59,2821.02,2821.47,79.0,68.32227223467828,2817.8014999999928,1.659659558344174,1.1642903896916237,1.6521428571429286,47.187614872063534,27.18208747019676,6.441365725570059,90.85958770906106,93.17668780139056,2822.9314250481857,2817.8015000000005,2812.6715749518157,2025-02-04 15:00:00
52,52,2025-02-04 16:00:00,2831.95,10442.49,IMPERIUM,IMPERIUM,53,53,2025-02-05 05:31:40,2853.84,10464.38,21.89,tp 2853.84,tp 2853.84,2025.02.04 16:00,2831.21,2831.6,2829.64,2830.25,71.0,63.367874364094114,2826.647999999992,3.965744555323909,4.112649341583126,2.830714285714325,49.61999011164798,19.48539088483752,16.336453465107123,64.33399602385597,72.02709392392948,2838.579569217836,2826.648,2814.7164307821645,2025-02-04 16:00:00,2025.02.05 05:30,2853.16,2854.03,2853.08,2853.43,83.0,68.62124539223926,2850.1824999999926,2.1073501226892404,1.8341047327457625,1.6264285714285047,31.270661262215828,32.1740523682722,10.466699270852992,91.8367346938777,88.64612844616316,2854.7476807193143,2850.1825,2845.617319280685,2025-02-05 05:30:00
54,54,2025-02-05 06:00:00,2852.7,10464.38,IMPERIUM,IMPERIUM,55,55,2025-02-05 12:34:40,2874.99,10486.67,22.29,tp 2874.99,tp 2874.99,2025.02.05 06:00,2851.93,2852.46,2851.41,2851.52,87.0,56.80261740783021,2851.1514999999927,1.583669464691866,1.9402453602377063,1.3642857142856752,20.047086531155884,19.125839328586725,18.15297298139655,67.00854700854238,74.71628724108992,2854.770656117108,2851.1514999999995,2847.5323438828914,2025-02-05 06:00:00,2025.02.05 12:30,2871.58,2876.59,2870.96,2876.59,75.0,75.87642586248964,2869.475999999993,2.333277272251962,2.071853822475041,1.8414285714285863,31.518604025364784,27.302096650059266,12.19799963689128,96.2893377172383,91.38873433839458,2874.480567513782,2869.476,2864.4714324862184,2025-02-05 12:30:00
56,56,2025-02-05 13:00:00,2868.15,10486.67,IMPERIUM,IMPERIUM,58,58,2025-02-06 11:00:00,2855.81,10474.33,-12.34,,,2025.02.05 13:00,2867.48,2868.94,2866.99,2868.48,78.0,49.27236384727003,2870.184499999993,0.802737340949534,1.7059803067146513,2.194285714285733,29.874827946159638,20.556103264562665,31.661744549736238,15.891959798994504,11.862291808748306,2874.0373403808103,2870.1845000000003,2866.3316596191903,2025-02-05 13:00:00,2025.02.06 11:00,2855.66,2858.36,2855.31,2858.06,72.0,51.65936994067241,2855.735499999992,-1.7043903024996323,-2.737511019886254,2.889285714285766,30.91190323497677,18.29062471081498,15.766043998437514,82.38341968911836,69.24569094073611,2861.331325140227,2855.7355,2850.1396748597726,2025-02-06 11:00:00
57,57,2025-02-05 21:00:00,2865.93,10486.67,IMPERIUM,IMPERIUM,59,59,2025-02-06 12:00:00,2859.15,10467.55,-6.78,,,2025.02.05 21:00,2865.22,2865.78,2862.93,2863.08,63.0,30.467286658314336,2869.728999999991,-2.0082168143335366,-1.0620081212195918,2.235714285714298,47.28570639270431,11.246731823436654,34.63644408773232,12.678868552412576,10.970389478524352,2876.209666323766,2869.729,2863.2483336762334,2025-02-05 21:00:00,2025.02.06 12:00,2859.0,2859.45,2857.81,2857.81,81.0,50.82158040518113,2856.5099999999925,-0.0063618059066357,-0.4726568666344626,2.020714285714283,31.04393684786653,18.653586013078623,8.094355748597058,78.14726840854802,77.7860932157784,2860.632906741608,2856.51,2852.387093258392,2025-02-06 12:00:00
60,60,2025-02-06 12:00:00,2859.73,10467.55,IMPERIUM,IMPERIUM,61,61,2025-02-06 16:00:00,2856.39,10464.21,-3.34,,,2025.02.06 12:00,2859.0,2859.45,2857.81,2857.81,81.0,50.82158040518113,2856.5099999999925,-0.0063618059066357,-0.4726568666344626,2.020714285714283,31.04393684786653,18.653586013078623,8.094355748597058,78.14726840854802,77.7860932157784,2860.632906741608,2856.51,2852.387093258392,2025-02-06 12:00:00,2025.02.06 16:00,2856.24,2857.35,2855.75,2856.72,75.0,33.31917681215499,2862.251999999993,-1.5696429903650824,-0.7046605765520989,2.5128571428570976,43.43380219179608,7.753842178099538,31.763175657341336,11.02539376406113,10.61393149561366,2868.805117120882,2862.252,2855.6988828791177,2025-02-06 16:00:00
