filter_name,n_filtered,n_excluded,pct_trades_kept,win_rate_filtered,win_rate_excluded,win_rate_improvement,avg_profit_filtered,avg_profit_excluded,profit_improvement,total_profit_filtered,p_value_ttest,p_value_chi2,cohens_d,significant
ADX < 35 (Weak),249,181,57.906976744186046,66.26506024096386,70.71823204419888,-4.453171803235023,8.72273092369478,12.582651933701658,-3.859921010006879,2171.96,0.19205987169446342,0.3823070281834431,-0.13032275864746748,False
ATR > 3.5,199,231,46.27906976744186,64.82412060301507,70.995670995671,-6.171550392655931,8.140201005025126,12.249004329004327,-4.108803323979201,1619.9,0.16072517071363007,0.20561057858870999,-0.1357600460519645,False
RSI 30-70,353,77,82.09302325581396,68.27195467422096,67.53246753246754,0.739487141753429,9.575637393767707,13.885974025974026,-4.310336632206319,3380.2000000000003,0.25805077322137304,1.0,-0.14858448226884005,False
Near Upper BB (>0.7),104,326,24.186046511627907,63.46153846153846,69.6319018404908,-6.170363378952338,6.837596153846154,11.467208588957053,-4.629612435110899,711.11,0.17472585504682786,0.2913959082631954,-0.15238895783987133,False
ATR > 3.0,241,189,56.04651162790698,64.73029045643153,72.4867724867725,-7.756482030340962,8.084813278008298,13.232698412698413,-5.1478851346901155,1948.4399999999998,0.08004472619161129,0.10759929090622347,-0.17137073965153074,True
ATR > 4.0,165,265,38.372093023255815,62.42424242424243,71.69811320754717,-9.273870783304737,6.783515151515151,12.566566037735848,-5.783050886220697,1119.28,0.05393489255592949,0.05734540559141721,-0.19025368636924458,True
Hours 9-15 (Core),146,284,33.95348837209302,66.43835616438356,69.01408450704226,-2.5757283426586923,6.217808219178082,12.470492957746478,-6.252684738568396,907.8,0.042380495219408135,0.664604825790341,-0.2057710916441085,True
Session: NY,98,332,22.790697674418606,65.3061224489796,68.97590361445783,-3.6697811654782413,4.622142857142856,12.0375,-7.415357142857143,452.96999999999997,0.03293453974441869,0.5742884207819927,-0.22641214065684254,True
NOT Session: Late_NY,299,131,69.53488372093022,66.22073578595318,72.51908396946564,-6.298348183512459,7.827157190635452,16.099999999999998,-8.272842809364546,2340.32,0.008940701238183506,0.2389134116871747,-0.2763368983609807,True
ATR > 2.5,295,135,68.6046511627907,65.08474576271186,74.81481481481481,-9.730069052102948,7.578067796610169,16.39918518518519,-8.82111738857502,2235.5299999999997,0.004914503681716559,0.05766895916389309,-0.297753195191204,True
ATR > 2.0,355,75,82.55813953488372,67.04225352112675,73.33333333333333,-6.291079812206576,8.717323943661972,18.0636,-9.346276056338029,3094.65,0.014941425315377021,0.35440476533620857,-0.30913833302691823,True
