entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time,duration_hours,trade_duration_minutes,cluster
116,116,2025-02-21 04:00:00,2929.21,10835.96,IMPERIUM,IMPERIUM,118,118,2025-02-25 11:00:00,2941.08,10853.43,17.47,,,2025.02.21 04:00,2928.38,2930.82,2926.0,2930.4,81.0,31.8406648280896,2939.565999999993,-2.275315755668544,0.1768028513446622,3.671428571428575,38.90942731373799,11.392973813562328,34.91534685591287,15.973329468038768,12.097557767886292,2951.099300308238,2939.5660000000003,2928.0326996917624,2025-02-21 04:00:00,2025.02.25 11:00,2940.93,2941.95,2939.34,2939.58,79.0,60.23570412661911,2935.4889999999914,1.0759592014906048,-0.144748952865264,2.3621428571428984,40.47796705719098,29.686619901776773,12.428184373434505,90.51404345521996,92.48038102193522,2942.447249492509,2935.489,2928.530750507491,2025-02-25 11:00:00,103.0,6180.0,1
117,117,2025-02-21 11:00:00,2923.61,10835.96,IMPERIUM,IMPERIUM,122,122,2025-02-27 10:27:40,2883.55,10807.96,-45.47,sl 2883.55,sl 2883.55,2025.02.21 11:00,2922.9,2926.48,2922.62,2925.43,76.0,49.713691374428485,2925.4104999999945,-1.8010058761124128,-2.2416905167566186,2.665714285714359,26.698655406642253,27.37483318095855,17.68478150344422,47.79142426201234,42.13912615349592,2933.993817482186,2925.4105,2916.827182517814,2025-02-21 11:00:00,2025.02.27 10:25,2884.64,2884.91,2880.19,2881.79,75.0,32.25457038114183,2890.534499999992,-2.738924723564196,-1.766587027947562,3.540714285714322,45.984393640789975,7.592689015696516,37.65077910096436,16.225406849648298,17.35160020980505,2897.5976366261743,2890.5345,2883.471363373826,2025-02-27 10:25:00,143.4611111111111,8607.666666666666,1
126,126,2025-02-27 18:00:00,2872.61,10775.63,IMPERIUM,IMPERIUM,132,132,2025-03-03 14:00:00,2874.15,10667.96,10.42,,,2025.02.27 18:00,2871.92,2875.79,2871.55,2875.16,80.0,44.539639850654304,2876.3959999999925,-2.9828378612087363,-3.230189327589144,4.564999999999917,25.52563964431583,12.252014733926472,18.18399068808454,33.20509737917708,33.71114693874122,2886.628683714451,2876.396,2866.1633162855483,2025-02-27 18:00:00,2025.03.03 14:00,2874.0,2875.84,2873.81,2875.54,78.0,67.38574106554918,2872.299499999992,1.6445628371361636,1.595285951253642,1.4999999999999922,37.58970071444793,29.75445673480371,8.49452102199189,83.77976190476035,78.76538784355375,2875.876082027579,2872.2995,2868.7229179724213,2025-03-03 14:00:00,92.0,5520.0,1
131,131,2025-02-28 17:00:00,2834.01,10657.54,IMPERIUM,IMPERIUM,135,135,2025-03-04 03:00:00,2891.7,10756.85,19.09,,,2025.02.28 17:00,2833.37,2836.22,2832.22,2835.08,78.0,24.32737583158618,2846.099499999993,-5.773102136360649,-4.473171325073037,4.097142857142827,58.12036301940067,5.367965641798212,39.17670406716682,5.272407732864915,3.6419137046806576,2860.5946432900823,2846.0995000000007,2831.604356709919,2025-02-28 17:00:00,2025.03.04 03:00,2891.55,2892.62,2888.79,2889.87,79.0,44.50097322977536,2891.130999999993,-0.0688256056459977,0.0703129329575952,1.498571428571453,15.552357428388746,21.521174570400863,22.097606957734737,35.32297628781441,33.15082003411194,2892.5457635844905,2891.1310000000003,2889.71623641551,2025-03-04 03:00:00,82.0,4920.0,1
129,129,2025-02-28 07:00:00,2863.73,10705.39,IMPERIUM,IMPERIUM,134,134,2025-03-04 03:00:00,2891.7,10737.76,12.11,,,2025.02.28 07:00,2863.07,2863.69,2862.39,2862.46,76.0,42.07973269985204,2863.201999999991,-2.3441487557606706,-3.2836242079299187,2.829285714285749,30.0506953710129,16.53820717690457,17.087776998570355,67.89631106680073,66.891820971908,2869.103293417548,2863.202,2857.300706582452,2025-02-28 07:00:00,2025.03.04 03:00,2891.55,2892.62,2888.79,2889.87,79.0,44.50097322977536,2891.130999999993,-0.0688256056459977,0.0703129329575952,1.498571428571453,15.552357428388746,21.521174570400863,22.097606957734737,35.32297628781441,33.15082003411194,2892.5457635844905,2891.1310000000003,2889.71623641551,2025-03-04 03:00:00,92.0,5520.0,1
127,127,2025-02-27 22:00:00,2879.59,10775.63,IMPERIUM,IMPERIUM,133,133,2025-03-04 03:00:00,2891.7,10725.65,57.69,,,2025.02.27 22:00,2878.9,2878.91,2876.81,2878.08,82.0,37.75815857274798,2882.769499999992,-0.8585449583847549,0.179803138879649,2.2178571428571807,49.39648327762327,5.069302466369607,27.216264542534304,16.47021344377196,18.144883815736087,2888.9835790950865,2882.7694999999994,2876.5554209049124,2025-02-27 22:00:00,2025.03.04 03:00,2891.55,2892.62,2888.79,2889.87,79.0,44.50097322977536,2891.130999999993,-0.0688256056459977,0.0703129329575952,1.498571428571453,15.552357428388746,21.521174570400863,22.097606957734737,35.32297628781441,33.15082003411194,2892.5457635844905,2891.1310000000003,2889.71623641551,2025-03-04 03:00:00,101.0,6060.0,1
139,139,2025-03-06 03:00:00,2917.02,10787.21,IMPERIUM,IMPERIUM,144,144,2025-03-12 20:26:40,2939.49,10826.72,31.21,tp 2939.49,tp 2939.49,2025.03.06 03:00,2916.44,2917.77,2915.6,2917.17,73.0,40.73680116671887,2918.215999999996,-0.6626948951125087,-0.4950052224419371,1.0107142857141829,49.99734883776669,6.304874358920303,32.97944752554683,22.886597938142696,16.906887500099305,2919.70425266672,2918.216,2916.72774733328,2025-03-06 03:00:00,2025.03.12 20:25,2937.91,2939.42,2937.2,2937.5,70.0,68.85663507134544,2934.757999999994,3.390175993265075,3.755988066164843,2.1949999999999554,68.716891077009,29.11164545397327,3.7671885836506687,74.04233870967884,79.34687298653418,2940.928732857611,2934.7580000000003,2928.587267142389,2025-03-12 20:25:00,161.44444444444446,9686.666666666666,1
140,140,2025-03-06 12:00:00,2894.47,10787.21,IMPERIUM,IMPERIUM,146,146,2025-03-13 06:00:00,2944.06,10884.42,57.7,,,2025.03.06 12:00,2893.86,2896.36,2892.87,2892.9,72.0,25.67711893991725,2900.642999999993,-4.497032030441915,-4.005217251340358,3.023571428571475,62.33339301025089,13.122091879840225,37.02578716489537,12.453019293410856,12.737279210875862,2908.927986662632,2900.643,2892.358013337367,2025-03-06 12:00:00,2025.03.13 06:00,2943.91,2944.06,2942.7,2943.76,77.0,69.14672912063335,2939.824499999995,1.4570550779203586,0.8895877884758635,1.6057142857142417,43.86166902675469,34.02129074974626,15.669200884279872,85.08435582822158,89.96206589012905,2944.4796368400944,2939.8245,2935.169363159906,2025-03-13 06:00:00,162.0,9720.0,1
142,142,2025-03-07 20:00:00,2908.28,10795.51,IMPERIUM,IMPERIUM,147,147,2025-03-13 06:00:00,2944.06,10934.01,49.59,,,2025.03.07 20:00,2907.68,2907.93,2906.63,2907.31,73.0,39.000789940133615,2910.924499999995,-2.6174455776022114,-2.7078090644964914,2.941428571428609,23.86589118641559,10.740561556692525,19.00428806486975,24.472681067345555,21.87148659624901,2918.3048291932,2910.9245,2903.5441708068,2025-03-07 20:00:00,2025.03.13 06:00,2943.91,2944.06,2942.7,2943.76,77.0,69.14672912063335,2939.824499999995,1.4570550779203586,0.8895877884758635,1.6057142857142417,43.86166902675469,34.02129074974626,15.669200884279872,85.08435582822158,89.96206589012905,2944.4796368400944,2939.8245,2935.169363159906,2025-03-13 06:00:00,130.0,7800.0,1
143,143,2025-03-10 21:00:00,2886.36,10795.51,IMPERIUM,IMPERIUM,148,148,2025-03-13 06:00:00,2944.06,10961.05,27.04,,,2025.03.10 21:00,2885.69,2885.69,2881.4,2881.69,67.0,22.14840170023703,2893.184499999992,-4.94414954426793,-3.9062309050551858,3.683571428571361,61.11920362899063,6.076778375626838,28.2460650164316,10.701455851767662,11.783569704261398,2905.99572082395,2893.1845000000003,2880.373279176051,2025-03-10 21:00:00,2025.03.13 06:00,2943.91,2944.06,2942.7,2943.76,77.0,69.14672912063335,2939.824499999995,1.4570550779203586,0.8895877884758635,1.6057142857142417,43.86166902675469,34.02129074974626,15.669200884279872,85.08435582822158,89.96206589012905,2944.4796368400944,2939.8245,2935.169363159906,2025-03-13 06:00:00,57.0,3420.0,1
