time,total_open,cluster_0_open,cluster_1_open,cluster_2_open,cluster_3_open,total_exposure_value,hour,session
2025-06-02 00:00:00,2,0,1,0,1,99.2,0,Asian
2025-06-02 01:00:00,2,0,1,0,1,99.2,1,Asian
2025-06-02 02:00:00,2,0,1,0,1,99.2,2,Asian
2025-06-02 03:00:00,1,0,1,0,0,63.6,3,Asian
2025-06-02 04:00:00,1,0,1,0,0,63.6,4,Asian
2025-06-02 05:00:00,1,0,1,0,0,63.6,5,Asian
2025-06-02 06:00:00,1,0,1,0,0,63.6,6,Asian
2025-06-02 07:00:00,1,0,1,0,0,63.6,7,Asian
2025-06-02 08:00:00,1,0,1,0,0,63.6,8,London
2025-06-02 09:00:00,1,0,1,0,0,63.6,9,London
2025-06-02 10:00:00,1,0,1,0,0,63.6,10,London
2025-06-02 11:00:00,1,0,1,0,0,63.6,11,London
2025-06-02 12:00:00,1,0,1,0,0,63.6,12,NY Overlap
2025-06-02 13:00:00,1,0,1,0,0,63.6,13,NY Overlap
2025-06-02 14:00:00,1,0,1,0,0,63.6,14,NY Overlap
2025-06-02 15:00:00,1,0,1,0,0,63.6,15,NY Overlap
2025-06-02 16:00:00,1,0,1,0,0,63.6,16,NY Overlap
2025-06-02 17:00:00,1,0,1,0,0,63.6,17,Late US
2025-06-02 18:00:00,1,0,1,0,0,63.6,18,Late US
2025-06-02 19:00:00,1,0,1,0,0,63.6,19,Late US
2025-06-02 20:00:00,1,0,1,0,0,63.6,20,Late US
2025-06-02 21:00:00,1,0,1,0,0,63.6,21,Late US
2025-06-02 22:00:00,1,0,1,0,0,63.6,22,Late US
2025-06-02 23:00:00,0,0,0,0,0,0.0,23,Late US
2025-06-03 00:00:00,0,0,0,0,0,0.0,0,Asian
2025-06-03 01:00:00,0,0,0,0,0,0.0,1,Asian
2025-06-03 02:00:00,0,0,0,0,0,0.0,2,Asian
2025-06-03 03:00:00,0,0,0,0,0,0.0,3,Asian
2025-06-03 04:00:00,1,0,1,0,0,21.03,4,Asian
2025-06-03 05:00:00,1,0,1,0,0,21.03,5,Asian
2025-06-03 06:00:00,1,0,1,0,0,21.03,6,Asian
2025-06-03 07:00:00,1,0,1,0,0,21.03,7,Asian
2025-06-03 08:00:00,1,0,1,0,0,21.03,8,London
2025-06-03 09:00:00,1,0,1,0,0,21.03,9,London
2025-06-03 10:00:00,1,0,1,0,0,21.03,10,London
2025-06-03 11:00:00,1,0,1,0,0,21.03,11,London
2025-06-03 12:00:00,1,0,1,0,0,21.03,12,NY Overlap
2025-06-03 13:00:00,1,0,1,0,0,21.03,13,NY Overlap
2025-06-03 14:00:00,1,0,1,0,0,21.03,14,NY Overlap
2025-06-03 15:00:00,0,0,0,0,0,0.0,15,NY Overlap
2025-06-03 16:00:00,0,0,0,0,0,0.0,16,NY Overlap
2025-06-03 17:00:00,0,0,0,0,0,0.0,17,Late US
2025-06-03 18:00:00,0,0,0,0,0,0.0,18,Late US
2025-06-03 19:00:00,0,0,0,0,0,0.0,19,Late US
2025-06-03 20:00:00,0,0,0,0,0,0.0,20,Late US
2025-06-03 21:00:00,0,0,0,0,0,0.0,21,Late US
2025-06-03 22:00:00,0,0,0,0,0,0.0,22,Late US
2025-06-03 23:00:00,0,0,0,0,0,0.0,23,Late US
2025-06-04 00:00:00,0,0,0,0,0,0.0,0,Asian
2025-06-04 01:00:00,0,0,0,0,0,0.0,1,Asian
