date,cluster_0_pnl,cluster_1_pnl,cluster_2_pnl,cluster_3_pnl,total_pnl
2025-05-12,-49.809999999999995,0.0,-114.25999999999999,0.0,-164.07
2025-05-13,-0.33000000000000007,0.0,0.0,0.0,-0.33000000000000007
2025-05-15,5.710000000000001,51.3,27.84,0.0,84.85
2025-05-16,0.0,0.0,0.0,30.23,30.23
2025-05-19,73.72,0.0,0.0,0.0,73.72
2025-05-21,0.0,0.0,0.0,35.71,35.71
2025-05-23,-6.45,0.0,0.0,0.0,-6.45
2025-05-26,56.05,-9.77,0.0,0.0,46.28
2025-05-27,-37.67,0.0,0.0,0.0,-37.67
2025-05-29,-22.32,0.0,0.0,-0.16,-22.48
2025-05-30,9.88,0.0,38.16,0.0,48.04
2025-06-02,0.0,63.6,0.0,35.6,99.2
2025-06-03,0.0,-21.03,0.0,0.0,-21.03
2025-06-06,0.0,0.0,47.489999999999995,0.0,47.489999999999995
2025-06-09,-11.99,0.0,0.0,0.0,-11.99
2025-06-11,0.0,0.0,-3.42,0.0,-3.42
2025-06-12,0.0,26.94,0.0,0.0,26.94
2025-06-13,212.57999999999998,99.33,0.0,0.0,311.90999999999997
2025-06-16,0.0,-17.01,0.0,0.0,-17.01
2025-06-17,0.0,0.0,17.14,0.0,17.14
2025-06-23,0.0,1.23,0.0,0.0,1.23
2025-06-24,0.0,0.0,-15.32,0.0,-15.32
2025-06-27,-75.13,-38.48,-25.84,0.0,-139.45
2025-06-30,0.0,10.0,0.0,0.0,10.0
2025-07-01,41.91,0.0,0.0,0.0,41.91
2025-07-02,94.45,0.0,0.0,0.0,94.45
2025-07-07,0.0,12.309999999999999,-24.69,0.0,-12.380000000000003
2025-07-09,0.0,-60.55,0.0,0.0,-60.55
2025-07-10,24.97,90.33,0.0,0.0,115.3
2025-07-11,40.05,0.0,0.0,0.0,40.05
2025-07-15,0.0,-4.84,0.0,0.0,-4.84
2025-07-21,0.0,25.86,0.0,0.0,25.86
2025-07-22,83.54,88.89,0.0,0.0,172.43
2025-07-23,70.06,0.0,0.0,7.35,77.41
2025-07-24,-28.93,0.0,-58.89,0.0,-87.82
2025-07-25,-117.72,0.0,-8.41,0.0,-126.13
2025-07-28,0.0,-59.24,0.0,0.0,-59.24
2025-07-29,-2.57,0.0,0.0,0.0,-2.57
2025-07-31,0.0,-8.07,0.0,0.0,-8.07
2025-08-01,0.0,34.68,0.0,0.0,34.68
2025-08-04,0.0,78.79,0.0,0.0,78.79
2025-08-05,13.79,95.15,0.0,0.0,108.94
2025-08-06,-7.91,0.0,0.0,0.0,-7.91
2025-08-07,12.33,28.330000000000002,0.0,0.0,40.660000000000004
2025-08-08,-24.84,0.0,0.0,0.0,-24.84
2025-08-11,-12.75,0.0,0.0,0.0,-12.75
2025-08-18,0.0,-33.47,0.0,0.0,-33.47
2025-08-19,0.0,-53.709999999999994,0.0,0.0,-53.709999999999994
2025-08-20,0.0,8.24,0.0,0.0,8.24
2025-08-22,0.0,31.85,0.0,0.0,31.85
2025-08-26,74.47,20.07,0.0,0.0,94.53999999999999
2025-08-27,0.4499999999999993,0.0,0.0,0.0,0.4499999999999993
2025-08-28,79.06,41.29,0.0,5.92,126.27
2025-08-29,16.86,0.0,0.0,12.11,28.97
2025-09-01,0.0,0.0,0.0,30.89,30.89
2025-09-02,23.009999999999998,7.63,0.0,-7.27,23.369999999999997
2025-09-03,10.32,0.0,0.0,6.12,16.44
2025-09-04,0.0,0.0,4.94,-12.57,-7.63
2025-09-05,21.3,0.0,0.0,0.0,21.3
2025-09-08,57.620000000000005,0.0,0.0,0.0,57.620000000000005
2025-09-09,51.9,0.0,0.0,0.0,51.9
2025-09-10,-7.07,11.84,0.0,0.0,4.77
2025-09-11,-30.83,0.0,0.0,0.0,-30.83
2025-09-12,15.57,0.0,0.0,0.0,15.57
2025-09-15,1.99,2.9800000000000004,0.0,0.0,4.970000000000001
2025-09-16,74.42,74.42,0.0,0.0,148.84
2025-09-17,-1.33,-4.56,0.0,4.79,-1.0999999999999996
2025-09-18,37.879999999999995,-7.97,4.27,0.0,34.17999999999999
2025-09-19,37.89,0.0,0.0,0.0,37.89
2025-09-22,0.0,31.65,0.0,32.62,64.27
2025-09-23,0.0,0.0,0.0,39.88,39.88
2025-09-24,-4.71,0.0,0.0,0.0,-4.71
2025-09-25,20.29,0.0,18.259999999999998,0.0,38.55
2025-09-26,51.089999999999996,13.45,0.0,0.0,64.53999999999999
2025-09-29,35.04,0.0,0.0,3.34,38.379999999999995
2025-09-30,77.25,0.0,8.41,-48.9,36.76
2025-10-01,25.61,0.0,0.0,-4.45,21.16
2025-10-02,-13.43,0.0,0.0,-39.77,-53.2
2025-10-03,16.48,0.0,0.0,0.0,16.48
2025-10-06,38.05,0.0,0.0,29.69,67.74
2025-10-07,15.909999999999998,0.0,0.0,0.0,15.909999999999998
2025-10-08,33.67,0.0,0.0,34.42,68.09
2025-10-09,22.34,0.0,12.870000000000001,0.0,35.21
2025-10-10,36.66,0.0,54.88,0.0,91.53999999999999
2025-10-13,44.14,0.0,42.21,0.0,86.35
2025-10-14,-25.52,0.0,16.92,52.09,43.49000000000001
2025-10-15,44.75,0.0,0.0,-9.47,35.28
2025-10-16,75.03,0.0,0.0,-5.85,69.18
2025-10-24,-4.44,0.0,72.21000000000001,0.0,67.77000000000001
2025-10-27,0.0,21.46,-34.36,0.0,-12.899999999999999
2025-10-28,8.79,0.0,-7.02,0.0,1.7699999999999996
2025-10-29,71.55,0.0,89.78999999999999,0.0,161.33999999999997
2025-10-30,73.04,0.0,0.0,-100.41,-27.36999999999999
2025-10-31,44.09,0.0,-40.69,0.0,3.4000000000000057
2025-11-04,-11.84,0.0,-7.02,0.0,-18.86
2025-11-05,22.990000000000002,0.0,2.55,-61.65,-36.11
2025-11-06,20.88,0.0,0.0,0.0,20.88
2025-11-10,47.38,0.0,0.0,8.85,56.230000000000004
2025-11-11,-12.61,0.0,0.0,0.0,-12.61
2025-11-12,12.91,0.0,0.0,0.0,12.91
2025-11-13,97.96,0.0,0.0,0.0,97.96
2025-11-14,-28.21,0.0,-149.67,0.0,-177.88
2025-11-18,0.0,0.0,-5.22,0.0,-5.22
2025-11-20,33.02,0.0,15.98,-10.6,38.4
